[ 2020-04-15 21:47:55 ] 添加阅读量失败, redis: client is closed
[ 2020-04-15 21:48:50 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 21:48:50 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 21:48:56 ] 获取阅读量失败, redis: client is closed
[ 2020-04-15 21:49:04 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 21:49:04 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 21:49:09 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 21:49:09 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 21:49:10 ] 获取阅读量失败, redis: client is closed
[ 2020-04-15 21:49:10 ] 添加阅读量失败, redis: client is closed
[ 2020-04-15 21:51:42 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 21:51:42 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 21:51:56 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 21:51:56 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 21:52:00 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 21:52:00 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 21:52:03 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 21:52:03 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 21:52:03 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 21:52:03 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 21:52:07 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 21:52:07 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 21:52:09 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 21:52:09 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 21:52:13 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 21:52:13 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 21:52:27 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 21:52:27 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:15:14 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:15:14 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:15:17 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:15:17 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:15:17 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:15:17 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:15:56 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:15:56 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:16:17 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:16:17 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:16:17 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:16:17 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:16:19 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:16:19 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:16:21 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:16:21 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:16:22 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:16:22 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:16:22 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:16:22 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:16:24 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:16:24 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:16:42 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:16:42 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:19:09 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:19:09 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:19:21 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:19:21 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:19:22 ] 获取阅读量失败, redis: client is closed
[ 2020-04-15 22:19:22 ] 添加阅读量失败, redis: client is closed
